file,icons_occurrences
lib/presentation/widgets/chat_message_widget.dart,33
test/widget/chat_page_test.dart,21
lib/presentation/pages/settings/sections/servers_settings_section.dart,18
lib/presentation/widgets/chat_session_list.dart,17
lib/presentation/pages/chat_page/chat_page_chrome.dart,14
lib/presentation/pages/home_page.dart,13
lib/presentation/pages/onboarding_wizard_page.dart,13
lib/presentation/widgets/chat_input_widget.dart,13
lib/presentation/pages/chat_page/chat_page_file_runtime.dart,12
lib/presentation/pages/chat_page/chat_page_selector_flow.dart,12
lib/presentation/pages/chat_page/chat_page_model_selector_runtime.dart,10
lib/presentation/pages/chat_page/chat_page_scaffold.dart,10
lib/presentation/pages/settings_page.dart,9
lib/presentation/pages/chat_page/chat_page_timeline_builder.dart,8
lib/presentation/pages/settings/sections/about_settings_section.dart,8
lib/presentation/pages/settings/sections/speech_settings_section.dart,8
test/widget_test.dart,8
lib/presentation/pages/settings/sections/notifications_settings_section.dart,7
test/widget/chat_session_list_test.dart,6
lib/presentation/pages/settings/sections/shortcuts_settings_section.dart,5
lib/presentation/pages/chat_page.dart,4
lib/presentation/pages/logs_page.dart,4
lib/presentation/widgets/chat_input/chat_input_suggestion_popover.dart,4
lib/presentation/widgets/session_todo_list_widget.dart,4
lib/presentation/pages/chat_page/chat_page_file_explorer_controller.dart,3
lib/presentation/pages/chat_page/chat_page_file_viewer.dart,3
lib/presentation/pages/chat_page/chat_page_status_presenter.dart,3
lib/presentation/pages/chat_page/chat_page_timeline_runtime.dart,3
lib/presentation/pages/chat_page/chat_page_workspace_controller.dart,3
test/widget/chat_message_widget_test.dart,3
lib/presentation/pages/chat_page/chat_page_composer_widgets.dart,2
lib/presentation/widgets/chat_input/chat_input_attachment_controller.dart,2
lib/presentation/widgets/session_title_inline_editor.dart,2
test/widget/server_settings_page_test.dart,2
lib/presentation/pages/settings/sections/logs_settings_section.dart,1
lib/presentation/widgets/permission_request_card.dart,1
lib/presentation/widgets/question_request_card.dart,1
test/widget/onboarding_wizard_test.dart,1
